ID_PROTOCOLO,CODIGOINVIMA,VERSION,FECHA_PROTOCOLO,FECHA_PREVISTA_TERMINACION,TITULO_CIENTIFICO_PROTOCOLO,TITULO_PUBLICO_PROTOCOLO,NRO_INVESTIGACION_PRIMARIA,FECHA_REGISTRO_OFICIAL_PRIMARIA,NRO_IDENTIFICACION_SECUNDARIA,FECHA_REGISTRO_OFICIAL_SECUNDARIO,PATROCINADOR,CRO,PAIS_DESARROLLA_ACTIVIDAD,FUENTE_FINANCIACION,ESPECIALIDAD_PROTOCOLO,TIPO_INVESTIGACION,CODIGOASIGNADOPATROCINADOR,MOLECULA_ESTUDIO,ORIGEN,ESTADO,ID_MEDICAMENTO,ID_DISPOSITIVOS
926,EO RO 34,86,2019-06-27,2020-06-12,Titulo x,Titulo x,253538,2019-06-27,8192,2019-06-27,PRODUCTOS ROCHE S A,CRO926,COLOMBIA,Fuente 926,Especialidda 926,Tipo 926,MO28457,Molecula 926,Origen 926,APROBADO,3035,
927,PI RO 789,88,2020-01-11,2020-07-11,Titulo x186,Titulo x186,578840,2020-01-11,23526,2020-01-11,PRODUCTOS ROCHE S A,CRO927,COLOMBIA,Fuente 927,Especialidda 927,Tipo 927,BO27938,Molecula 927,Origen 927,APROBADO,3034,
928,PI NO 650,90,2019-03-02,2020-05-11,Titulo 186,Titulo 186,2426,2019-03-02,21415,2019-03-02,NOVARTIS DE COLOMBIA S A,CRO928,COLOMBIA,Fuente 928,Especialidda 928,Tipo 928,CINC424A2401,Molecula 928,Origen 928,APROBADO,3033,
929,PI NO 904,93,2014-12-27,2020-07-11,Titulo 187,Titulo 187,45729,2014-12-27,24627,2014-12-27,NOVARTIS DE COLOMBIA S A,CRO929,COLOMBIA,Fuente 929,Especialidda 929,Tipo 929,CLCI699C2301,Molecula 929,Origen 929,APROBADO,3032,
930,PI NO 935,94,2015-05-27,2020-05-11,Titulo y,Titulo y,689781,2015-05-27,23415,2015-05-27,NOVARTIS DE COLOMBIA S A,CRO930,COLOMBIA,Fuente 930,Especialidda 930,Tipo 930,CBYM338D2201,Molecula 930,Origen 930,APROBADO,3031,
931,PI MS 1026,91,2017-02-10,2020-05-11,Titulo x,Titulo x,34516,2017-02-10,12424,2017-02-10,MSD,CRO931,COLOMBIA,Fuente 931,Especialidda 931,Tipo 931,MK3475 119,Molecula 931,Origen 931,EN CURSO,3030,
932,PI MS 819,88,2019-06-11,2020-06-13,Titulo x187,Titulo x187,234318,2019-06-11,1233527,2019-06-11,MSD,CRO932,COLOMBIA,Fuente 932,Especialidda 932,Tipo 932,MK3475 006,Molecula 932,Origen 932,EN CURSO,3029,
933,PI NO 79,86,2019-06-28,2020-06-13,Titulo 187,Titulo 187,657651,2019-06-28,436559,2019-06-28,NOVARTIS DE COLOMBIA S A,CRO933,COLOMBIA,Fuente 933,Especialidda 933,Tipo 933,CAMN107A2303,Molecula 933,Origen 933,EN CURSO,3028,
934,PI SA 958,91,2020-01-12,2020-07-12,Titulo 188,Titulo 188,324318,2020-01-12,689092,2020-01-12,SANOFI AVENTIS DE COLOMBIA,CRO934,COLOMBIA,Fuente 934,Especialidda 934,Tipo 934,EFC13403,Molecula 934,Origen 934,RECHAZADO,3027,
935,PI SA 950,93,2019-03-03,2020-05-12,Titulo y,Titulo y,2426,2019-03-03,8193,2019-03-03,SANOFI AVENTIS DE COLOMBIA,CRO935,COLOMBIA,Fuente 935,Especialidda 935,Tipo 935,EFC13799,Molecula 935,Origen 935,APROBADO,3026,
936,PI SA 743,86,2014-12-28,2020-07-12,Titulo x,Titulo x,297,2014-12-28,23527,2014-12-28,NOVARTIS DE COLOMBIA S A,CRO936,COLOMBIA,Fuente 936,Especialidda 936,Tipo 936,CBKM120F2303,Molecula 936,Origen 936,EN CURSO,3025,
937,PI SA 499,87,2015-05-28,2020-05-12,Titulo x188,Titulo x188,253539,2015-05-28,21416,2015-05-28,SANOFI AVENTIS DE COLOMBIA,CRO937,COLOMBIA,Fuente 937,Especialidda 937,Tipo 937,LTS11210,Molecula 937,Origen 937,APROBADO,3024,
938,PI CU 846,89,2017-02-11,2020-05-12,Titulo 188,Titulo 188,578841,2017-02-11,24628,2017-02-11,CUBIST PHARMACEUTICALS LLC JSS MEDICAL RESEARCH LATAM S A S,CRO938,COLOMBIA,Fuente 938,Especialidda 938,Tipo 938,DAP PEDOST 11 03,Molecula 938,Origen 938,APROBADO,3023,
939,PI MS 1043,91,2019-06-12,2020-06-14,Titulo 189,Titulo 189,2427,2019-06-12,23416,2019-06-12,MERCK SHARP AND DOHME COLOMBIA S A S,CRO939,COLOMBIA,Fuente 939,Especialidda 939,Tipo 939,MK3475 158,Molecula 939,Origen 939,APROBADO,3022,
940,PI MS 1046,94,2019-06-29,2020-06-14,Titulo y,Titulo y,45730,2019-06-29,12425,2019-06-29,MERCK SHARP AND DOHME COLOMBIA S A S,CRO940,COLOMBIA,Fuente 940,Especialidda 940,Tipo 940,MK0887A 087,Molecula 940,Origen 940,APROBADO,3021,
941,PI MS 1046,95,2020-01-13,2020-07-13,Titulo x,Titulo x,689782,2020-01-13,1233528,2020-01-13,MERCK SHARP AND DOHME COLOMBIA S A S,CRO941,COLOMBIA,Fuente 941,Especialidda 941,Tipo 941,MK0887A 087,Molecula 941,Origen 941,APROBADO,3020,
942,PI EMD 988,92,2019-03-04,2020-05-13,Titulo x189,Titulo x189,34517,2019-03-04,436560,2019-03-04,MERCK CO INC QUINTILES COLOMBIA LTDA,CRO942,COLOMBIA,Fuente 942,Especialidda 942,Tipo 942,EMR100070 004,Molecula 942,Origen 942,APROBADO,3019,
943,PI EMD 988,89,2014-12-29,2020-07-13,Titulo 189,Titulo 189,234319,2014-12-29,689093,2014-12-29,MERCK CO INC QUINTILES COLOMBIA LTDA,CRO943,COLOMBIA,Fuente 943,Especialidda 943,Tipo 943,EMR100070 004,Molecula 943,Origen 943,EN CURSO,3018,
944,PI MS 1046,87,2015-05-29,2020-05-13,Titulo 190,Titulo 190,657652,2015-05-29,8194,2015-05-29,MERCK SHARP AND DOHME COLOMBIA S A S,CRO944,COLOMBIA,Fuente 944,Especialidda 944,Tipo 944,MK0887A 087,Molecula 944,Origen 944,EN CURSO,3017,
945,PI MS 1046,92,2017-02-12,2020-05-13,Titulo y,Titulo y,324319,2017-02-12,23528,2017-02-12,MERCK SHARP AND DOHME COLOMBIA S A S,CRO945,COLOMBIA,Fuente 945,Especialidda 945,Tipo 945,MK0887A 087,Molecula 945,Origen 945,EN CURSO,3016,
946,PI MS 1046,94,2019-06-13,2020-06-15,Titulo x,Titulo x,2427,2019-06-13,21417,2019-06-13,MERCK SHARP AND DOHME COLOMBIA S A S,CRO946,COLOMBIA,Fuente 946,Especialidda 946,Tipo 946,MK0887A 087,Molecula 946,Origen 946,RECHAZADO,3015,
947,PI MS 1046,87,2019-06-30,2020-06-15,Titulo x190,Titulo x190,298,2019-06-30,24629,2019-06-30,MERCK SHARP AND DOHME COLOMBIA S A S,CRO947,COLOMBIA,Fuente 947,Especialidda 947,Tipo 947,MK0887A 087,Molecula 947,Origen 947,APROBADO,3014,
948,PI MS 1046,88,2020-01-14,2020-07-14,Titulo 190,Titulo 190,253540,2020-01-14,23417,2020-01-14,MERCK SHARP AND DOHME COLOMBIA S A S,CRO948,COLOMBIA,Fuente 948,Especialidda 948,Tipo 948,MK0887A 087,Molecula 948,Origen 948,EN CURSO,3013,
949,PI MS 1046,90,2019-03-05,2020-05-14,Titulo 191,Titulo 191,578842,2019-03-05,12426,2019-03-05,MERCK SHARP AND DOHME COLOMBIA S A S,CRO949,COLOMBIA,Fuente 949,Especialidda 949,Tipo 949,MK0887A 087,Molecula 949,Origen 949,APROBADO,3012,
950,PI MS 1046,92,2014-12-30,2020-07-14,Titulo y,Titulo y,2428,2014-12-30,1233529,2014-12-30,MERCK SHARP AND DOHME COLOMBIA S A S,CRO950,COLOMBIA,Fuente 950,Especialidda 950,Tipo 950,MK0887A 087,Molecula 950,Origen 950,APROBADO,3011,
951,PI MS 1046,95,2015-05-30,2020-05-14,Titulo x,Titulo x,45731,2015-05-30,436561,2015-05-30,MERCK SHARP AND DOHME COLOMBIA S A S,CRO951,COLOMBIA,Fuente 951,Especialidda 951,Tipo 951,MK0887A 087,Molecula 951,Origen 951,APROBADO,3010,
952,PI MEI 811,96,2017-02-13,2020-05-14,Titulo x191,Titulo x191,689783,2017-02-13,689094,2017-02-13,MEDIMMUNE LLC INC RESEARCH COLOMBIA LTDA,CRO952,COLOMBIA,Fuente 952,Especialidda 952,Tipo 952,CD IA MEDI 546 1145,Molecula 952,Origen 952,APROBADO,3009,
953,PI MS 1007,93,2019-06-14,2020-06-16,Titulo 191,Titulo 191,34518,2019-06-14,8195,2019-06-14,MERCK SHARP AND DOHME COLOMBIA S A S,CRO953,COLOMBIA,Fuente 953,Especialidda 953,Tipo 953,MK7655A 014,Molecula 953,Origen 953,APROBADO,3008,
954,PI NO 743,90,2019-07-01,2020-06-16,Titulo 192,Titulo 192,234320,2019-07-01,23529,2019-07-01,NOVARTIS DE COLOMBIA S A,CRO954,COLOMBIA,Fuente 954,Especialidda 954,Tipo 954,CBKM120F2303,Molecula 954,Origen 954,APROBADO,3007,
955,PI AZ 907,88,2020-01-15,2020-07-15,Titulo y,Titulo y,657653,2020-01-15,21418,2020-01-15,ASTRAZENECA AB,CRO955,COLOMBIA,Fuente 955,Especialidda 955,Tipo 955,D513BC00001,Molecula 955,Origen 955,EN CURSO,3006,
956,PI TAK 883,93,2019-03-06,2020-05-15,Titulo x,Titulo x,324320,2019-03-06,24630,2019-03-06,TAKEDAMVACCINES INC QUINTILES COLOMBIA LTDA,CRO956,COLOMBIA,Fuente 956,Especialidda 956,Tipo 956,NOR 202,Molecula 956,Origen 956,EN CURSO,3005,
957,PI TAK 883,95,2014-12-31,2020-07-15,Titulo x192,Titulo x192,2428,2014-12-31,23418,2014-12-31,TAKEDAMVACCINES INC QUINTILES COLOMBIA LTDA,CRO957,COLOMBIA,Fuente 957,Especialidda 957,Tipo 957,NOR 202,Molecula 957,Origen 957,EN CURSO,3004,
958,PI JC 722,88,2015-05-31,2020-05-15,Titulo 192,Titulo 192,299,2015-05-31,12427,2015-05-31,JANSSEN RESEARCH AND DEVELOPMENT QUINTILES COLOMBIA LTDA,CRO958,COLOMBIA,Fuente 958,Especialidda 958,Tipo 958,212082PCR3011,Molecula 958,Origen 958,RECHAZADO,3003,
959,PI JC 716,89,2017-02-14,2020-05-15,Titulo 193,Titulo 193,253541,2017-02-14,1233530,2017-02-14,JANSSEN RESEARCH AND DEVELOPMENT QUINTILES COLOMBIA LTDA,CRO959,COLOMBIA,Fuente 959,Especialidda 959,Tipo 959,PCI 32765CLL3001,Molecula 959,Origen 959,APROBADO,3002,
960,PI MS 984,91,2019-06-15,2020-06-17,Titulo y,Titulo y,578843,2019-06-15,436562,2019-06-15,MERCK SHARP AND DOHME COLOMBIA S A S,CRO960,COLOMBIA,Fuente 960,Especialidda 960,Tipo 960,MK3475 061,Molecula 960,Origen 960,EN CURSO,3001,
961,PI PF 899,93,2019-07-02,2020-06-17,Titulo x,Titulo x,2429,2019-07-02,689095,2019-07-02,PFIZER S A S ICON CLINICAL RESEARCH REPRESENTADO EN COLOMBIA POR ICON HOLDINGS CLINICAL RESEARCH INTERNATIONAL SUCURSAL COLOMBIA,CRO961,COLOMBIA,Fuente 961,Especialidda 961,Tipo 961,A3921133,Molecula 961,Origen 961,APROBADO,3000,
962,PI AZ 886,96,2020-01-16,2020-07-16,Titulo x193,Titulo x193,45732,2020-01-16,8196,2020-01-16,ASTRAZENECA AB,CRO962,COLOMBIA,Fuente 962,Especialidda 962,Tipo 962,D3251C00004,Molecula 962,Origen 962,APROBADO,2999,
963,PI MS 880,97,2019-03-07,2020-05-16,Titulo 193,Titulo 193,689784,2019-03-07,23530,2019-03-07,MERCK SHARP AND DOHME CORP PFIZER INC,CRO963,COLOMBIA,Fuente 963,Especialidda 963,Tipo 963,MK 8835 004 B1521021,Molecula 963,Origen 963,APROBADO,2998,
964,PI MS 880,94,2015-01-01,2020-07-16,Titulo 194,Titulo 194,34519,2015-01-01,21419,2015-01-01,MERCK SHARP AND DOHME CORP PFIZER INC,CRO964,COLOMBIA,Fuente 964,Especialidda 964,Tipo 964,MK 8835 004 B1521021,Molecula 964,Origen 964,APROBADO,2997,
965,PI BM 980,91,2015-06-01,2020-05-16,Titulo y,Titulo y,234321,2015-06-01,24631,2015-06-01,BRISTOL SQUIBB DE COLOMBIA S A,CRO965,COLOMBIA,Fuente 965,Especialidda 965,Tipo 965,AI468 048,Molecula 965,Origen 965,APROBADO,2996,
966,PI HGS 723,89,2017-02-15,2020-05-16,Titulo x,Titulo x,657654,2017-02-15,23419,2017-02-15,HUMAN GENOME SCIENCES INC QUINTILES COLOMBIA LTDA,CRO966,COLOMBIA,Fuente 966,Especialidda 966,Tipo 966,HGS1006 C1113,Molecula 966,Origen 966,APROBADO,2995,
967,PI EMD 988,94,2019-06-16,2020-06-18,Titulo x194,Titulo x194,324321,2019-06-16,12428,2019-06-16,MERCK CO INC QUINTILES COLOMBIA LTDA,CRO967,COLOMBIA,Fuente 967,Especialidda 967,Tipo 967,EMR100070 004,Molecula 967,Origen 967,EN CURSO,2994,
968,PI GIS 1032,96,2019-07-03,2020-06-18,Titulo 194,Titulo 194,2429,2019-07-03,1233531,2019-07-03,GILEAD SCIENCES INC ICON HOLDINGS CLINICAL RESEARCH INTERNATIONAL SUCURSAL COLOMBIA,CRO968,COLOMBIA,Fuente 968,Especialidda 968,Tipo 968,GS US 296 1080,Molecula 968,Origen 968,EN CURSO,2993,
969,PI MS 984,89,2020-01-17,2020-07-17,Titulo 195,Titulo 195,300,2020-01-17,436563,2020-01-17,MERCK SHARP AND DOHME COLOMBIA S A S,CRO969,COLOMBIA,Fuente 969,Especialidda 969,Tipo 969,MK3475 061,Molecula 969,Origen 969,EN CURSO,2992,
970,PI BH 1010,90,2019-03-08,2020-05-17,Titulo y,Titulo y,253542,2019-03-08,689096,2019-03-08,BAYER S A,CRO970,COLOMBIA,Fuente 970,Especialidda 970,Tipo 970,BAY 94 8862 16244,Molecula 970,Origen 970,RECHAZADO,2991,
971,PI BH 1010,92,2015-01-02,2020-07-17,Titulo x,Titulo x,578844,2015-01-02,8197,2015-01-02,BAYER S A,CRO971,COLOMBIA,Fuente 971,Especialidda 971,Tipo 971,BAY 94 8862 16244,Molecula 971,Origen 971,APROBADO,2990,
972,PI BH 1010,94,2015-06-02,2020-05-17,Titulo x195,Titulo x195,2430,2015-06-02,23531,2015-06-02,BAYER S A,CRO972,COLOMBIA,Fuente 972,Especialidda 972,Tipo 972,BAY 94 8862 16244,Molecula 972,Origen 972,EN CURSO,2989,
973,PI UB 987,97,2017-02-16,2020-05-17,Titulo 195,Titulo 195,45733,2017-02-16,21420,2017-02-16,UCB BIOSCIENCES INC RPS COLOMBIA LTDA,CRO973,COLOMBIA,Fuente 973,Especialidda 973,Tipo 973,SP0967,Molecula 973,Origen 973,APROBADO,2988,
974,PI UB 987,98,2019-06-17,2020-06-19,Titulo 196,Titulo 196,689785,2019-06-17,24632,2019-06-17,UCB BIOSCIENCES INC RPS COLOMBIA LTDA,CRO974,COLOMBIA,Fuente 974,Especialidda 974,Tipo 974,SP0967,Molecula 974,Origen 974,APROBADO,2987,
975,PI UB 987,95,2019-07-04,2020-06-19,Titulo y,Titulo y,34520,2019-07-04,23420,2019-07-04,UCB BIOSCIENCES INC RPS COLOMBIA LTDA,CRO975,COLOMBIA,Fuente 975,Especialidda 975,Tipo 975,SP0967,Molecula 975,Origen 975,APROBADO,2986,
976,PI UB 987,92,2020-01-18,2020-07-18,Titulo x,Titulo x,234322,2020-01-18,12429,2020-01-18,UCB BIOSCIENCES INC RPS COLOMBIA LTDA,CRO976,COLOMBIA,Fuente 976,Especialidda 976,Tipo 976,SP0967,Molecula 976,Origen 976,APROBADO,2985,
977,PI UB 987,90,2019-03-09,2020-05-18,Titulo x196,Titulo x196,657655,2019-03-09,1233532,2019-03-09,UCB BIOSCIENCES INC RPS COLOMBIA LTDA,CRO977,COLOMBIA,Fuente 977,Especialidda 977,Tipo 977,SP0967,Molecula 977,Origen 977,APROBADO,2984,
978,PI UB 987,95,2015-01-03,2020-07-18,Titulo 196,Titulo 196,324322,2015-01-03,436564,2015-01-03,UCB BIOSCIENCES INC RPS COLOMBIA LTDA,CRO978,COLOMBIA,Fuente 978,Especialidda 978,Tipo 978,SP0967,Molecula 978,Origen 978,APROBADO,2983,
979,PI MC 1044,97,2015-06-03,2020-05-18,Titulo 197,Titulo 197,2430,2015-06-03,689097,2015-06-03,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO979,COLOMBIA,Fuente 979,Especialidda 979,Tipo 979,EMR 100070 005,Molecula 979,Origen 979,EN CURSO,2982,
980,PI MC 1044,90,2017-02-17,2020-05-18,Titulo y,Titulo y,301,2017-02-17,8198,2017-02-17,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO980,COLOMBIA,Fuente 980,Especialidda 980,Tipo 980,EMR 100070 005,Molecula 980,Origen 980,EN CURSO,2981,
981,PI MC 1044,91,2019-06-18,2020-06-20,Titulo x,Titulo x,253543,2019-06-18,23532,2019-06-18,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO981,COLOMBIA,Fuente 981,Especialidda 981,Tipo 981,EMR 100070 005,Molecula 981,Origen 981,EN CURSO,2980,
982,PI MC 1044,93,2019-07-05,2020-06-20,Titulo x197,Titulo x197,578845,2019-07-05,21421,2019-07-05,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO982,COLOMBIA,Fuente 982,Especialidda 982,Tipo 982,EMR 100070 005,Molecula 982,Origen 982,RECHAZADO,2979,
983,PI MC 1044,95,2020-01-19,2020-07-19,Titulo 197,Titulo 197,2431,2020-01-19,24633,2020-01-19,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO983,COLOMBIA,Fuente 983,Especialidda 983,Tipo 983,EMR 100070 005,Molecula 983,Origen 983,APROBADO,2978,
984,PI MC 1044,98,2019-03-10,2020-05-19,Titulo 198,Titulo 198,45734,2019-03-10,23421,2019-03-10,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO984,COLOMBIA,Fuente 984,Especialidda 984,Tipo 984,EMR 100070 005,Molecula 984,Origen 984,EN CURSO,2977,
985,PI MC 1044,99,2015-01-04,2020-07-19,Titulo y,Titulo y,689786,2015-01-04,12430,2015-01-04,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO985,COLOMBIA,Fuente 985,Especialidda 985,Tipo 985,EMR 100070 005,Molecula 985,Origen 985,APROBADO,2976,
986,PI MC 1044,96,2015-06-04,2020-05-19,Titulo x,Titulo x,34521,2015-06-04,1233533,2015-06-04,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO986,COLOMBIA,Fuente 986,Especialidda 986,Tipo 986,EMR 100070 005,Molecula 986,Origen 986,APROBADO,2975,
987,PI MC 1044,93,2017-02-18,2020-05-19,Titulo x198,Titulo x198,234323,2017-02-18,436565,2017-02-18,MERCK KGAA QUINTILES COLOMBIA LTDA,CRO987,COLOMBIA,Fuente 987,Especialidda 987,Tipo 987,EMR 100070 005,Molecula 987,Origen 987,APROBADO,2974,
988,PI MS 1040,91,2019-06-19,2020-06-21,Titulo 198,Titulo 198,657656,2019-06-19,689098,2019-06-19,MERCK SHARP Y DOHME COLOMBIA S A S,CRO988,COLOMBIA,Fuente 988,Especialidda 988,Tipo 988,MK3475 181,Molecula 988,Origen 988,APROBADO,2973,
989,PI MS 1040,96,2019-07-06,2020-06-21,Titulo 199,Titulo 199,324323,2019-07-06,8199,2019-07-06,MERCK SHARP Y DOHME COLOMBIA S A S,CRO989,COLOMBIA,Fuente 989,Especialidda 989,Tipo 989,MK3475 181,Molecula 989,Origen 989,APROBADO,2972,
990,PI MS 1040,98,2020-01-20,2020-07-20,Titulo y,Titulo y,2431,2020-01-20,23533,2020-01-20,MERCK SHARP Y DOHME COLOMBIA S A S,CRO990,COLOMBIA,Fuente 990,Especialidda 990,Tipo 990,MK3475 181,Molecula 990,Origen 990,APROBADO,2971,
991,PI MS 1040,91,2019-03-11,2020-05-20,Titulo x,Titulo x,302,2019-03-11,21422,2019-03-11,MERCK SHARP Y DOHME COLOMBIA S A S,CRO991,COLOMBIA,Fuente 991,Especialidda 991,Tipo 991,MK3475 181,Molecula 991,Origen 991,EN CURSO,2970,
992,PI MP 933,92,2015-01-05,2020-07-20,Titulo x199,Titulo x199,253544,2015-01-05,24634,2015-01-05,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO992,COLOMBIA,Fuente 992,Especialidda 992,Tipo 992,C16019,Molecula 992,Origen 992,EN CURSO,2969,
993,PI MP 933,94,2015-06-05,2020-05-20,Titulo 199,Titulo 199,578846,2015-06-05,23422,2015-06-05,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO993,COLOMBIA,Fuente 993,Especialidda 993,Tipo 993,C16019,Molecula 993,Origen 993,EN CURSO,2968,
994,PI MP 933,96,2017-02-19,2020-05-20,Titulo 200,Titulo 200,2432,2017-02-19,12431,2017-02-19,MILLENNIUM PHARMACEUTICALS INC PPD COLOMBIA S A S,CRO994,COLOMBIA,Fuente 994,Especialidda 994,Tipo 994,C16019,Molecula 994,Origen 994,RECHAZADO,2967,
995,PI EVP 803,99,2019-06-20,2020-06-22,Titulo y,Titulo y,45735,2019-06-20,1233534,2019-06-20,FORUM PHARMACEUTICALS INC INC RESEARCH COLOMBIA LTDA,CRO995,COLOMBIA,Fuente 995,Especialidda 995,Tipo 995,EVP 6124 016,Molecula 995,Origen 995,APROBADO,2966,
996,PI NO 854,100,2019-07-07,2020-06-22,Titulo x,Titulo x,689787,2019-07-07,436566,2019-07-07,NOVARTIS DE COLOMBIA S A,CRO996,COLOMBIA,Fuente 996,Especialidda 996,Tipo 996,CBYL719A2201,Molecula 996,Origen 996,EN CURSO,2965,
997,PI QC 455,97,2020-01-21,2020-07-21,Titulo x200,Titulo x200,34522,2020-01-21,689099,2020-01-21,JANSSEN RESEARCH AND DEVELOPMENT LLC QUINTILES COLOMBIA LTDA,CRO997,COLOMBIA,Fuente 997,Especialidda 997,Tipo 997,28431754DIA3008 CANVAS,Molecula 997,Origen 997,APROBADO,2964,
998,PI KC 247,94,2019-03-12,2020-05-21,Titulo 200,Titulo 200,234324,2019-03-12,8200,2019-03-12,ACTELION PHARMACEUTICALS LTDA INC RESEARCH COLOMBIA LTDA,CRO998,COLOMBIA,Fuente 998,Especialidda 998,Tipo 998,AC 055 303,Molecula 998,Origen 998,APROBADO,2963,
999,PI BH 991,92,2015-01-06,2020-07-21,Titulo 201,Titulo 201,657657,2015-01-06,23534,2015-01-06,BAYER S A LAT RESEARCH,CRO999,COLOMBIA,Fuente 999,Especialidda 999,Tipo 999,BAY A2502 IMPACT16027,Molecula 999,Origen 999,APROBADO,2962,
1000,PI NO 922,97,2015-06-06,2020-05-21,Titulo y,Titulo y,324324,2015-06-06,21423,2015-06-06,NOVARTIS DE COLOMBIA S A,CRO1000,COLOMBIA,Fuente 1000,Especialidda 1000,Tipo 1000,CLCZ696D2301,Molecula 1000,Origen 1000,APROBADO,2961,
1001,PI AB 909,99,2017-02-20,2020-05-21,Titulo x,Titulo x,2432,2017-02-20,24635,2017-02-20,ABBVIE SAS,CRO1001,COLOMBIA,Fuente 1001,Especialidda 1001,Tipo 1001,M12 914,Molecula 1001,Origen 1001,APROBADO,2960,
1002,PI REP 959,92,2019-06-21,2020-06-23,Titulo x201,Titulo x201,303,2019-06-21,23423,2019-06-21,REMPEX PHARMACEUTICALS ALVAREZ GOTUZZO ASOCIADOS S EN C,CRO1002,COLOMBIA,Fuente 1002,Especialidda 1002,Tipo 1002,REMPEX 506,Molecula 1002,Origen 1002,APROBADO,2959,
1003,PI NO 1020,93,2019-07-08,2020-06-23,Titulo 201,Titulo 201,253545,2019-07-08,12432,2019-07-08,NOVARTIS DE COLOMBIA S A,CRO1003,COLOMBIA,Fuente 1003,Especialidda 1003,Tipo 1003,CLDK378A2112,Molecula 1003,Origen 1003,EN CURSO,2958,
1004,PI MS 985,95,2020-01-22,2020-07-22,Titulo 202,Titulo 202,578847,2020-01-22,1233535,2020-01-22,MERCK SHARAP Y DOHME COLOMBIA S A S,CRO1004,COLOMBIA,Fuente 1004,Especialidda 1004,Tipo 1004,MK7655A 013,Molecula 1004,Origen 1004,EN CURSO,2957,
1005,PI PF 899,97,2019-03-13,2020-05-22,Titulo y,Titulo y,2433,2019-03-13,436567,2019-03-13,PFIZER S A S ICON HOLDINGS CLINICAL RESEARCH INTERNATIONAL SUCURSAL COLOMBIA,CRO1005,COLOMBIA,Fuente 1005,Especialidda 1005,Tipo 1005,A3921133,Molecula 1005,Origen 1005,EN CURSO,2956,
1006,PI LBI 937,100,2015-01-07,2020-07-22,Titulo x,Titulo x,45736,2015-01-07,689100,2015-01-07,BOEHRINGER INGELHEIM SA INVENTIV HEALT CLINICAL COLOMBIA,CRO1006,COLOMBIA,Fuente 1006,Especialidda 1006,Tipo 1006,BI 1218 149,Molecula 1006,Origen 1006,RECHAZADO,2955,
1007,PI JC 722,101,2015-06-07,2020-05-22,Titulo x202,Titulo x202,689788,2015-06-07,8201,2015-06-07,JANSSEN RESEARCH AND DEVELOPMENT LLC QUINTILES COLOMBIA LTDA,CRO1007,COLOMBIA,Fuente 1007,Especialidda 1007,Tipo 1007,212082PCR3011,Molecula 1007,Origen 1007,APROBADO,2954,
1008,PI RO 874,98,2017-02-21,2020-05-22,Titulo 202,Titulo 202,34523,2017-02-21,23535,2017-02-21,PRODUCTOS ROCHE S A,CRO1008,COLOMBIA,Fuente 1008,Especialidda 1008,Tipo 1008,ML28700,Molecula 1008,Origen 1008,EN CURSO,2953,
1009,PI AG 737,95,2019-06-22,2020-06-24,Titulo 203,Titulo 203,234325,2019-06-22,21424,2019-06-22,AMGEN INC QUINTILES COLOMBIA LTDA,CRO1009,COLOMBIA,Fuente 1009,Especialidda 1009,Tipo 1009,20110142,Molecula 1009,Origen 1009,APROBADO,2952,
1010,PI AG 888,93,2019-07-09,2020-06-24,Titulo y,Titulo y,657658,2019-07-09,24636,2019-07-09,AMGEN INC QUINTILES COLOMBIA LTDA,CRO1010,COLOMBIA,Fuente 1010,Especialidda 1010,Tipo 1010,20110174,Molecula 1010,Origen 1010,APROBADO,2951,
1011,PI GS 865,98,2020-01-23,2020-07-23,Titulo x,Titulo x,324325,2020-01-23,23424,2020-01-23,GLAXOSMITHKLINE COLOMBIA S A,CRO1011,COLOMBIA,Fuente 1011,Especialidda 1011,Tipo 1011,TAF116564,Molecula 1011,Origen 1011,APROBADO,2950,
1012,PI MEI 811,100,2019-03-14,2020-05-23,Titulo x203,Titulo x203,2433,2019-03-14,12433,2019-03-14,MEDLMMUNE LLC MIEMBRO DEL GRUPO DE COMPAÑIAS DE ASTRAZENECA INC RESEARCH COLOMBIA LTDA,CRO1012,COLOMBIA,Fuente 1012,Especialidda 1012,Tipo 1012,CD IA MEDI 546 1145,Molecula 1012,Origen 1012,APROBADO,2949,
1013,PI UB 881,93,2015-01-08,2020-07-23,Titulo 203,Titulo 203,304,2015-01-08,1233536,2015-01-08,UCB BIOSCIENCES INC RPS COLOMBIA LTDA PARA HEALT SCIENCES,CRO1013,COLOMBIA,Fuente 1013,Especialidda 1013,Tipo 1013,SP0969,Molecula 1013,Origen 1013,APROBADO,2948,
